t, Obs_Wetland Cell 6 Water depth (m)_expression
40184.91000,0.826114
40184.92000,0.826012
40184.93000,0.82591
40184.94000,0.825808
40184.95000,0.825706
40184.96000,0.825604
40184.97000,0.825502
40184.98000,0.8254
40184.99000,0.825298
40185.00000,0.825196
40185.01000,0.825094
40185.02000,0.824992
40185.03000,0.82489
40185.04000,0.824787
40185.05000,0.824685
40185.06000,0.824583
40185.07000,0.824481
40185.08000,0.824379
40185.09000,0.824277
40185.10000,0.824175
40185.11000,0.824073
40185.12000,0.823971
40185.13000,0.823869
40185.14000,0.823767
40185.15000,0.823665
40185.16000,0.823563
40185.17000,0.823461
40185.18000,0.823359
40185.19000,0.823257
40185.20000,0.823154
40185.21000,0.823052
40185.22000,0.82295
40185.23000,0.822848
40185.24000,0.822746
40185.25000,0.822535
40185.26000,0.822308
40185.27000,0.822082
40185.28000,0.821856
40185.29000,0.82163
40185.30000,0.821404
40185.31000,0.821178
40185.32000,0.820951
40185.33000,0.820725
40185.34000,0.820499
40185.35000,0.820273
40185.36000,0.820047
40185.37000,0.819821
40185.38000,0.819595
40185.39000,0.819368
40185.40000,0.819142
40185.41000,0.818916
40185.42000,0.818689
40185.43000,0.818459
40185.44000,0.818228
40185.45000,0.817997
40185.46000,0.817767
40185.47000,0.817536
40185.48000,0.817305
40185.49000,0.817074
40185.50000,0.816844
40185.51000,0.816613
40185.52000,0.816382
40185.53000,0.816152
40185.54000,0.815921
40185.55000,0.81569
40185.56000,0.81546
40185.57000,0.815229
40185.58000,0.814998
40185.59000,0.814767
40185.60000,0.814584
40185.61000,0.814482
40185.62000,0.81438
40185.63000,0.814277
40185.64000,0.814175
40185.65000,0.814073
40185.66000,0.813971
40185.67000,0.813868
40185.68000,0.813766
40185.69000,0.813664
40185.70000,0.813562
40185.71000,0.813459
40185.72000,0.813357
40185.73000,0.813255
40185.74000,0.813153
40185.75000,0.81305
40185.76000,0.812948
40185.77000,0.812846
40185.78000,0.812779
40185.79000,0.812733
40185.80000,0.812688
40185.81000,0.812643
40185.82000,0.812598
40185.83000,0.812552
40185.84000,0.812507
40185.85000,0.812462
40185.86000,0.812417
40185.87000,0.812371
40185.88000,0.812326
40185.89000,0.812281
40185.90000,0.812236
40185.91000,0.812191
40185.92000,0.812145
40185.93000,0.8121
40185.94000,0.812055
40185.95000,0.81201
40185.96000,0.811993
40185.97000,0.811982
40185.98000,0.811971
40185.99000,0.811959
40186.00000,0.811948
40186.01000,0.811937
40186.02000,0.811926
40186.03000,0.811914
40186.04000,0.81184
40186.05000,0.81178
40186.06000,0.811736
40186.07000,0.811694
40186.08000,0.811653
40186.09000,0.811612
40186.10000,0.81157
40186.11000,0.811521
40186.12000,0.811456
40186.13000,0.811377
40186.14000,0.811284
40186.15000,0.811187
40186.16000,0.811106
40186.17000,0.811039
40186.18000,0.810987
40186.19000,0.810942
40186.20000,0.810882
40186.21000,0.810808
40186.22000,0.810719
40186.23000,0.809697
40186.24000,0.80954
40186.25000,0.809383
40186.26000,0.809226
40186.27000,0.809069
40186.28000,0.808913
