t,Obs_Soil Moisture_expression_noisy
40336.95,0.386707096704496
40336.96,0.392035483186314
40336.97,0.405565128835632
40336.98,0.404808731689534
40336.99,0.416730210563667
40337,0.412885241288664
40337.01,0.417978057249636
40337.02,0.409369414437542
40337.03,0.41291144876352
40337.04,0.415305425822521
40337.05,0.422785426236354
40337.06,0.414794389765079
40337.07,0.411810187311559
40337.08,0.410508749886866
40337.09,0.408023888608033
40337.1,0.410263665291075
40337.11,0.416109010242715
40337.12,0.415944291364577
40337.13,0.417101064733896
40337.14,0.411739064177895
40337.15,0.403612984448629
40337.16,0.404066278452101
40337.17,0.400159889296939
40337.18,0.405850102423378
40337.19,0.40150001954119
40337.2,0.398616566660832
40337.21,0.401532570400753
40337.22,0.39429516271649
40337.23,0.391111639049406
40337.24,0.388490606978395
40337.25,0.385490037134454
40337.26,0.382222979576785
40337.27,0.382612955910169
40337.28,0.382011952600825
40337.29,0.380031896261499
40337.3,0.380694632785251
40337.31,0.379484815520591
40337.32,0.381308574555036
40337.33,0.37573237095167
40337.34,0.380631728969742
40337.35,0.378540481655445
40337.36,0.379278821180135
40337.37,0.382024278696926
40337.38,0.378205930970281
40337.39,0.369769462508851
40337.4,0.369428610165355
40337.41,0.362586577110402
40337.42,0.363320383402912
40337.43,0.36299197655926
40337.44,0.355497260401857
40337.45,0.359487765894881
40337.46,0.355501007799613
40337.47,0.35155604666756
40337.48,0.353531725656962
40337.49,0.355721123325938
40337.5,0.348885535261317
40337.51,0.35561375853318
40337.52,0.352220261578646
40337.53,0.349962943365937
40337.54,0.347948306213893
40337.55,0.354124148083257
40337.56,0.341661506568337
40337.57,0.337454828131937
40337.58,0.347387964652368
40337.59,0.344310801135294
40337.6,0.339199010763087
40337.61,0.336009780739003
40337.62,0.33522939880214
40337.63,0.333367283059813
40337.64,0.346748495353891
40337.65,0.357516967758567
40337.66,0.356253565301918
40337.67,0.361376749927818
40337.68,0.357131353044623
40337.69,0.355620422636913
40337.7,0.35452614048986
40337.71,0.35610795740695
40337.72,0.360658602158505
40337.73,0.361497772992348
40337.74,0.363621516184818
40337.75,0.363776314370352
40337.76,0.36193499231196
40337.77,0.360295753705854
40337.78,0.360169476782978
40337.79,0.360968580176218
40337.8,0.364358971881979
40337.81,0.372998220287038
40337.82,0.371429844078999
40337.83,0.374433488454637
40337.84,0.373327173364366
40337.85,0.371727371048653
40337.86,0.366907218495841
40337.87,0.366684747840232
40337.88,0.368950984387247
40337.89,0.36002925746242
40337.9,0.358844412596971
40337.91,0.362392892214494
40337.92,0.361822950637728
40337.93,0.354744735672977
40337.94,0.353109952716226
40337.95,0.34642285695251
40337.96,0.336261863932124
40337.97,0.333267881896717
40337.98,0.327743250460061
40337.99,0.329774067422454
40338,0.327055111760077
40338.01,0.333632263927334
40338.02,0.330412848349451
40338.03,0.335455147281043
40338.04,0.33360818595038
40338.05,0.332030749301334
40338.06,0.327913800363894
40338.07,0.335029257551121
40338.08,0.343730147067436
40338.09,0.354697906360177
40338.1,0.345391417184962
40338.11,0.350440752049872
40338.12,0.350087595885138
40338.13,0.348652552813012
40338.14,0.343572400591527
40338.15,0.338674735530387
40338.16,0.344146754466661
40338.17,0.343954344256051
40338.18,0.340702748074106
40338.19,0.340804559720086
40338.2,0.341396877737151
40338.21,0.340811642708993
40338.22,0.340229687087169
40338.23,0.341327364903269
40338.24,0.339898147913417
40338.25,0.336711248234359
40338.26,0.345616158947506
40338.27,0.350206500519473
40338.28,0.355579073777017
40338.29,0.356078658203348
40338.3,0.35754077885165
40338.31,0.360023636370008
40338.32,0.367154864686256
40338.33,0.369900349952726
40338.34,0.37330822989607
40338.35,0.362968796454279
40338.36,0.358396663829928
40338.37,0.357871696637954
40338.38,0.348308069282153
40338.39,0.357611199937696
40338.4,0.351847449981902
40338.41,0.349902347706843
40338.42,0.348994908664433
40338.43,0.348218385339974
40338.44,0.349264692166639
40338.45,0.349774097827245
40338.46,0.352778217452402
40338.47,0.351097118920979
40338.48,0.347405181089736
40338.49,0.349531841256251
40338.5,0.35190899407349
40338.51,0.350669686500133
40338.52,0.347535439791477
40338.53,0.359210871901159
40338.54,0.356893378847908
40338.55,0.365035984003842
40338.56,0.358222924781889
40338.57,0.353186931282544
40338.58,0.3510843274677
40338.59,0.351576515365734
40338.6,0.352480379827512
40338.61,0.346303886742834
40338.62,0.34182172487977
40338.63,0.334777633601681
40338.64,0.334553690915427
40338.65,0.33486692313311
40338.66,0.32409408355163
40338.67,0.329226701523576
40338.68,0.336510007583351
40338.69,0.33830470527106
40338.7,0.344806085463322
40338.71,0.344070553779472
40338.72,0.346846748733745
40338.73,0.35304138111799
40338.74,0.352150657198966
40338.75,0.353371816261626
40338.76,0.352864494390226
40338.77,0.355427027379416
40338.78,0.351215035072654
40338.79,0.345785280329902
40338.8,0.345699729075756
40338.81,0.337743891065268
40338.82,0.341783438142794
40338.83,0.339742671140816
40338.84,0.341202423573737
40338.85,0.343428756848169
40338.86,0.345320667954527
40338.87,0.352386145239759
40338.88,0.348091574822263
40338.89,0.350327466678093
40338.9,0.349274090802379
40338.91,0.342941453039666
40338.92,0.341190455837297
40338.93,0.339945629301733
40338.94,0.341184680203266
40338.95,0.349913981956736
40338.96,0.347795493794483
40338.97,0.345151853804686
40338.98,0.346491487307793
40338.99,0.352491818902796
40339,0.359975959276308
40339.01,0.369101766137199
40339.02,0.366547098841049
40339.03,0.374233135069008
40339.04,0.377840899596874
40339.05,0.386654773074892
40339.06,0.388190836122914
40339.07,0.390460340001495
40339.08,0.384171446223651
40339.09,0.38617244005982
40339.1,0.38713166810904
40339.11,0.388211548198639
40339.12,0.394981617882989
40339.13,0.391422170919304
40339.14,0.389844596817192
40339.15,0.378628056284251
40339.16,0.376325231604734
40339.17,0.371199232369782
40339.18,0.374303386183438
40339.19,0.373133898490943
40339.2,0.371719882658762
40339.21,0.370317636613155
40339.22,0.367991446129147
40339.23,0.377090942247207
40339.24,0.371127436478717
40339.25,0.385670183072982
40339.26,0.378509437996969
40339.27,0.376163500826727
40339.28,0.37001463518661
40339.29,0.362647523557472
40339.3,0.355572429017645
40339.31,0.362699912369196
40339.32,0.368180060219096
40339.33,0.363971642604683
40339.34,0.37445771970862
40339.35,0.375041849333392
40339.36,0.380124905647979
40339.37,0.373863429061522
40339.38,0.370597302593014
40339.39,0.370354406414273
40339.4,0.363999592955891
40339.41,0.373873396661723
40339.42,0.381582762627549
40339.43,0.383620332068381
40339.44,0.391766078962857
40339.45,0.379962902222203
40339.46,0.383249211013962
40339.47,0.384424105426511
40339.48,0.376913527495628
40339.49,0.384962136869949
40339.5,0.378176579726822
40339.51,0.372526254926661
40339.52,0.384648995868027
40339.53,0.389404814925856
40339.54,0.385475139402323
40339.55,0.383647964175834
40339.56,0.374883711456816
40339.57,0.371188081442572
40339.58,0.37085954996044
40339.59,0.377587726581196
40339.6,0.372103700693858
40339.61,0.37321591756057
40339.62,0.36850819104163
40339.63,0.367444695969513
40339.64,0.372793435783534
40339.65,0.379227368809719
40339.66,0.37799183759939
40339.67,0.370040301746305
40339.68,0.362274082695325
40339.69,0.362726727886194
40339.7,0.352607888604279
40339.71,0.349615214365566
40339.72,0.352855925828206
40339.73,0.344886780950796
40339.74,0.343026752601362
40339.75,0.346227225088324
40339.76,0.348991780025465
40339.77,0.34582953767669
40339.78,0.342574294600971
40339.79,0.336523686503414
40339.8,0.331326865439722
40339.81,0.335545218848337
40339.82,0.33920200592141
40339.83,0.332527106349289
40339.84,0.338948583316439
40339.85,0.341095954471572
40339.86,0.338627226917714
40339.87,0.338588832529563
40339.88,0.337456175071667
40339.89,0.339792742677905
40339.9,0.345763091073533
40339.91,0.351652188799493
40339.92,0.339521642817444
40339.93,0.33367308142942
40339.94,0.337835393364015
40339.95,0.334008192561417
40339.96,0.338304023709243
40339.97,0.335720368604887
40339.98,0.338739989930054
40339.99,0.340893565972866
40340,0.347504124811449
40340.01,0.351433331088538
40340.02,0.352464725986385
40340.03,0.358367258177725
40340.04,0.355850427210147
40340.05,0.358541243112883
40340.06,0.35612877103058
40340.07,0.353029764776369
40340.08,0.35279617794725
40340.09,0.357839987329565
40340.1,0.360892127275388
40340.11,0.361943245063933
40340.12,0.361385253528276
40340.13,0.368892241857614
40340.14,0.37285610883553
40340.15,0.372547274804857
40340.16,0.366677013641381
40340.17,0.367599799023462
40340.18,0.370756491774847
40340.19,0.366023764001136
40340.2,0.357040706462878
40340.21,0.353321538873729
40340.22,0.345053358627805
40340.23,0.343435240786212
40340.24,0.338544663687583
40340.25,0.348750724627342
40340.26,0.347947409759311
40340.27,0.342393884845855
40340.28,0.340679919497313
40340.29,0.340510145485741
40340.3,0.336029609687309
40340.31,0.339028025268237
40340.32,0.33667025568034
40340.33,0.343955618734021
40340.34,0.33870351068492
40340.35,0.344622151340754
40340.36,0.352659859935317
40340.37,0.344728040782824
40340.38,0.347169932649282
40340.39,0.356814902968362
40340.4,0.353708523181797
40340.41,0.357814419361125
40340.42,0.362156255847959
40340.43,0.370832048080398
40340.44,0.365723640150443
40340.45,0.368328871895222
40340.46,0.374157117215439
40340.47,0.379850294982277
40340.48,0.383544703419564
40340.49,0.369081143672402
40340.5,0.377441088825291
40340.51,0.372383553550301
40340.52,0.380615142880447
40340.53,0.374643370383874
40340.54,0.380059867188769
40340.55,0.379682764082158
40340.56,0.383984785732258
40340.57,0.376388908977199
40340.58,0.37126139494698
40340.59,0.370719571467115
40340.6,0.374304287791712
40340.61,0.370834020441379
40340.62,0.373840603404969
40340.63,0.385496163525367
40340.64,0.384239487422167
40340.65,0.393778222757714
40340.66,0.39757480567083
40340.67,0.394684816884449
40340.68,0.396561637893794
40340.69,0.394271068590974
40340.7,0.398038201325101
40340.71,0.404130709846416
40340.72,0.399848393545254
40340.73,0.391567580031324
40340.74,0.39091548342614
40340.75,0.387051319031917
40340.76,0.380426932881768
40340.77,0.370547805858126
40340.78,0.371001143357273
40340.79,0.378123001020604
40340.8,0.37655351941784
40340.81,0.379415805408012
40340.82,0.381690473097661
40340.83,0.373268968093619
40340.84,0.364848381623918
40340.85,0.359123778903007
40340.86,0.3651264006163
40340.87,0.36698192674874
40340.88,0.364408286656381
40340.89,0.365126632749409
40340.9,0.361371097185987
40340.91,0.362925247610821
40340.92,0.370469058149799
40340.93,0.365346537205494
40340.94,0.360024202310225
40340.95,0.364825336773555
40340.96,0.363567433433697
40340.97,0.360713720533514
40340.98,0.364159335827229
40340.99,0.354072746870677
40341,0.356645229109826
40341.01,0.360106633291919
40341.02,0.372424599040848
40341.03,0.365296051485672
40341.04,0.363822250250825
40341.05,0.366695231262735
40341.06,0.359464193108522
40341.07,0.355967337753618
40341.08,0.357705815114365
40341.09,0.349063402945369
40341.1,0.344043688676496
40341.11,0.351282737084288
40341.12,0.35586632656499
40341.13,0.359743423528553
40341.14,0.3709472604632
40341.15,0.377371867523412
40341.16,0.369882514816881
40341.17,0.370375214498064
40341.18,0.36884170336991
40341.19,0.371536050668674
40341.2,0.365275608607029
40341.21,0.365314806524364
40341.22,0.359590790461789
40341.23,0.357295457096848
40341.24,0.362932152412836
40341.25,0.364858342637618
40341.26,0.364731104246631
40341.27,0.359551678711856
40341.28,0.352505640284183
40341.29,0.350333873049028
40341.3,0.354594420711502
40341.31,0.34580199987488
40341.32,0.348729944958109
40341.33,0.340617761186393
40341.34,0.347505171189395
40341.35,0.342623196256954
40341.36,0.345709821124109
40341.37,0.336478277561488
40341.38,0.33420428672885
40341.39,0.33738658726904
40341.4,0.331115525760424
40341.41,0.329246338057154
40341.42,0.322731527128403
40341.43,0.33024590989772
40341.44,0.329307107020794
40341.45,0.330027078231637
40341.46,0.331823342915481
40341.47,0.339534661489033
40341.48,0.346438750655372
40341.49,0.340314347495177
40341.5,0.337225337979357
40341.51,0.341225319027209
40341.52,0.343253288300111
40341.53,0.347552252346874
40341.54,0.345545247532617
40341.55,0.346218020816892
40341.56,0.349321235820386
40341.57,0.339308222527603
40341.58,0.347696046740728
40341.59,0.348711482660741
40341.6,0.358019166881052
40341.61,0.354740716518363
40341.62,0.35205415642652
40341.63,0.349677846963367
40341.64,0.351428655737804
40341.65,0.345137778755615
40341.66,0.342879172148167
40341.67,0.340652517011613
40341.68,0.341691027404564
40341.69,0.348435516044015
40341.7,0.339978434808906
40341.71,0.3375018753623
40341.72,0.333126545850116
40341.73,0.332378523191984
40341.74,0.339472328513317
40341.75,0.341771587018531
40341.76,0.342418288683332
40341.77,0.340239192548144
40341.78,0.336948780748767
40341.79,0.342656606768429
40341.8,0.344184298883928
40341.81,0.346594950386879
40341.82,0.346262746499984
40341.83,0.340855427169737
40341.84,0.33371884949536
40341.85,0.33936765155301
40341.86,0.332910380306247
40341.87,0.335967372902064
40341.88,0.33368825723296
40341.89,0.332564147776022
40341.9,0.331563610891733
40341.91,0.325942052519573
40341.92,0.335339353262412
40341.93,0.333448066815678
40341.94,0.336804287295298
40341.95,0.326640926308303
