t, Obs_Soil Moisture_expression
40213.71000,0.366272
40213.72000,0.366271
40213.73000,0.36627
40213.74000,0.36627
40213.75000,0.366269
40213.76000,0.366268
40213.77000,0.366267
40213.78000,0.366267
40213.79000,0.366266
40213.80000,0.366265
40213.81000,0.366264
40213.82000,0.366262
40213.83000,0.366254
40213.84000,0.366246
40213.85000,0.366238
40213.86000,0.36623
40213.87000,0.366222
40213.88000,0.366214
40213.89000,0.366206
40213.90000,0.366197
40213.91000,0.366189
40213.92000,0.366181
40213.93000,0.366173
40213.94000,0.366165
40213.95000,0.366157
40213.96000,0.366149
40213.97000,0.366141
40213.98000,0.366132
40213.99000,0.366123
40214.00000,0.366115
40214.01000,0.366106
40214.02000,0.366097
40214.03000,0.366089
40214.04000,0.36608
40214.05000,0.366071
40214.06000,0.366062
40214.07000,0.366054
40214.08000,0.366045
40214.09000,0.366036
40214.10000,0.366028
40214.11000,0.366019
40214.12000,0.36601
40214.13000,0.366002
40214.14000,0.365993
40214.15000,0.365984
40214.16000,0.365975
40214.17000,0.365967
40214.18000,0.365958
40214.19000,0.365949
40214.20000,0.36594
40214.21000,0.365932
40214.22000,0.365923
40214.23000,0.365914
40214.24000,0.365905
40214.25000,0.365897
40214.26000,0.365888
40214.27000,0.365878
40214.28000,0.365865
40214.29000,0.365852
40214.30000,0.36584
40214.31000,0.365827
40214.32000,0.365814
40214.33000,0.365801
40214.34000,0.365788
40214.35000,0.365775
40214.36000,0.365763
40214.37000,0.36575
40214.38000,0.365737
40214.39000,0.365724
40214.40000,0.365711
40214.41000,0.365698
40214.42000,0.365681
40214.43000,0.365648
40214.44000,0.365615
40214.45000,0.365598
40214.46000,0.365702
40214.47000,0.365969
40214.48000,0.366426
40214.49000,0.367309
40214.50000,0.368624
40214.51000,0.370265
40214.52000,0.372086
40214.53000,0.373547
40214.54000,0.374654
40214.55000,0.375519
40214.56000,0.376133
40214.57000,0.37643
40214.58000,0.376575
40214.59000,0.376648
40214.60000,0.376687
40214.61000,0.376789
40214.62000,0.376995
40214.63000,0.37727
40214.64000,0.377584
40214.65000,0.377862
40214.66000,0.378033
40214.67000,0.378133
40214.68000,0.378192
40214.69000,0.378292
40214.70000,0.378613
40214.71000,0.379078
40214.72000,0.379613
40214.73000,0.380181
40214.74000,0.380855
40214.75000,0.381573
40214.76000,0.382292
40214.77000,0.382988
40214.78000,0.382925
40214.79000,0.382316
40214.80000,0.381376
40214.81000,0.380218
40214.82000,0.379351
40214.83000,0.378851
40214.84000,0.378586
40214.85000,0.378446
40214.86000,0.378226
40214.87000,0.377829
40214.88000,0.377308
40214.89000,0.376702
40214.90000,0.376202
40214.91000,0.376018
40214.92000,0.376064
40214.93000,0.376255
40214.94000,0.376495
40214.95000,0.376656
40214.96000,0.376753
40214.97000,0.376808
40214.98000,0.376849
40214.99000,0.377005
40215.00000,0.377246
40215.01000,0.377535
40215.02000,0.377849
40215.03000,0.378172
40215.04000,0.378497
40215.05000,0.378818
40215.06000,0.379133
40215.07000,0.379349
40215.08000,0.379466
40215.09000,0.379527
40215.10000,0.379559
40215.11000,0.379433
40215.12000,0.379099
40215.13000,0.378631
40215.14000,0.378078
40215.15000,0.377737
40215.16000,0.37793
40215.17000,0.378483
40215.18000,0.379221
40215.19000,0.37979
40215.20000,0.379506
40215.21000,0.378649
40215.22000,0.377431
40215.23000,0.376009
40215.24000,0.374901
40215.25000,0.374041
40215.26000,0.373338
40215.27000,0.372728
40215.28000,0.372174
40215.29000,0.37165
40215.30000,0.371143
40215.31000,0.370648
40215.32000,0.370377
40215.33000,0.370412
40215.34000,0.370745
40215.35000,0.371336
40215.36000,0.371879
40215.37000,0.372151
40215.38000,0.372182
40215.39000,0.372032
40215.40000,0.37181
40215.41000,0.371623
40215.42000,0.371479
40215.43000,0.371373
40215.44000,0.371327
40215.45000,0.371427
40215.46000,0.371656
40215.47000,0.371986
40215.48000,0.37235
40215.49000,0.372358
40215.50000,0.372056
40215.51000,0.371537
40215.52000,0.37088
40215.53000,0.370422
40215.54000,0.370194
40215.55000,0.37017
40215.56000,0.370317
40215.57000,0.370422
40215.58000,0.370392
40215.59000,0.370239
40215.60000,0.369992
40215.61000,0.367605
40215.62000,0.367602
40215.63000,0.367599
40215.64000,0.367596
40215.65000,0.367593
40215.66000,0.36759
40215.67000,0.367587
40215.68000,0.367584
40215.69000,0.367581
40215.70000,0.367577
40215.71000,0.367574
40215.72000,0.367571
40215.73000,0.367568
40215.74000,0.367565
40215.75000,0.367562
40215.76000,0.367559
40215.77000,0.367556
40215.78000,0.367553
40215.79000,0.36755
40215.80000,0.367547
40215.81000,0.367543
40215.82000,0.36754
40215.83000,0.367537
40215.84000,0.367534
40215.85000,0.367531
40215.86000,0.367528
40215.87000,0.367525
40215.88000,0.367522
40215.89000,0.367519
40215.90000,0.367516
40215.91000,0.367513
40215.92000,0.36751
40215.93000,0.367506
40215.94000,0.367503
40215.95000,0.3675
40215.96000,0.367497
40215.97000,0.367494
40215.98000,0.367491
40215.99000,0.367488
40216.00000,0.367485
40216.01000,0.367482
40216.02000,0.367479
40216.03000,0.367476
40216.04000,0.367472
40216.05000,0.367469
40216.06000,0.367466
40216.07000,0.367463
40216.08000,0.36746
40216.09000,0.367457
40216.10000,0.367454
40216.11000,0.367451
40216.12000,0.367401
40216.13000,0.367352
40216.14000,0.367303
40216.15000,0.367253
40216.16000,0.367204
40216.17000,0.367155
40216.18000,0.367105
40216.19000,0.367056
40216.20000,0.367007
40216.21000,0.366957
40216.22000,0.366908
40216.23000,0.366859
40216.24000,0.366809
40216.25000,0.36676
40216.26000,0.366711
40216.27000,0.366661
40216.28000,0.366612
40216.29000,0.366563
40216.30000,0.366513
40216.31000,0.366464
40216.32000,0.366415
40216.33000,0.366365
40216.34000,0.366316
40216.35000,0.366266
40216.36000,0.366217
40216.37000,0.366168
40216.38000,0.366118
40216.39000,0.366069
40216.40000,0.36602
40216.41000,0.36597
40216.42000,0.365921
40216.43000,0.365872
40216.44000,0.365822
40216.45000,0.365773
40216.46000,0.365724
40216.47000,0.365674
40216.48000,0.365625
40216.49000,0.365599
40216.50000,0.365596
40216.51000,0.365593
40216.52000,0.365591
40216.53000,0.365588
40216.54000,0.365585
40216.55000,0.365583
40216.56000,0.36558
40216.57000,0.365577
40216.58000,0.365574
40216.59000,0.365572
40216.60000,0.365569
40216.61000,0.365566
40216.62000,0.365563
40216.63000,0.365561
40216.64000,0.365558
40216.65000,0.365555
40216.66000,0.365552
40216.67000,0.36555
40216.68000,0.365547
40216.69000,0.365544
40216.70000,0.365542
40216.71000,0.365539
40216.72000,0.365536
40216.73000,0.365533
40216.74000,0.365531
40216.75000,0.365528
40216.76000,0.365525
40216.77000,0.365522
40216.78000,0.36552
40216.79000,0.365517
40216.80000,0.365514
40216.81000,0.365512
40216.82000,0.365509
40216.83000,0.365506
40216.84000,0.365503
40216.85000,0.365501
40216.86000,0.365498
40216.87000,0.365495
40216.88000,0.365492
40216.89000,0.36549
40216.90000,0.365487
40216.91000,0.365484
40216.92000,0.365482
40216.93000,0.365479
40216.94000,0.365476
40216.95000,0.365473
40216.96000,0.365471
40216.97000,0.365468
40216.98000,0.365465
40216.99000,0.365445
40217.00000,0.365408
40217.01000,0.365371
40217.02000,0.365333
40217.03000,0.365296
40217.04000,0.365259
40217.05000,0.365221
40217.06000,0.365184
40217.07000,0.365147
40217.08000,0.365109
40217.09000,0.365072
40217.10000,0.365035
40217.11000,0.364998
40217.12000,0.36496
40217.13000,0.364923
40217.14000,0.364886
40217.15000,0.364848
40217.16000,0.364811
40217.17000,0.364774
40217.18000,0.364737
40217.19000,0.364699
40217.20000,0.364662
40217.21000,0.364625
40217.22000,0.364587
40217.23000,0.36455
40217.24000,0.364513
40217.25000,0.364475
40217.26000,0.364438
40217.27000,0.364401
40217.28000,0.364364
40217.29000,0.364326
40217.30000,0.364289
40217.31000,0.364252
40217.32000,0.364214
40217.33000,0.364177
40217.34000,0.36414
40217.35000,0.364103
40217.36000,0.364065
40217.37000,0.364028
40217.38000,0.363991
40217.39000,0.363953
40217.40000,0.363916
40217.41000,0.363879
40217.42000,0.363841
40217.43000,0.363804
40217.44000,0.363767
40217.45000,0.36373
40217.46000,0.363692
40217.47000,0.363655
40217.48000,0.363618
40217.49000,0.363598
40217.50000,0.363596
40217.51000,0.363594
40217.52000,0.363592
40217.53000,0.36359
40217.54000,0.363588
40217.55000,0.363586
40217.56000,0.363584
40217.57000,0.363582
40217.58000,0.363579
40217.59000,0.363577
40217.60000,0.363575
40217.61000,0.363573
40217.62000,0.363571
40217.63000,0.363569
40217.64000,0.363567
40217.65000,0.363565
40217.66000,0.363563
40217.67000,0.363561
40217.68000,0.363559
40217.69000,0.363557
40217.70000,0.363555
40217.71000,0.363553
40217.72000,0.363551
40217.73000,0.363549
40217.74000,0.363546
40217.75000,0.363544
40217.76000,0.363542
40217.77000,0.36354
40217.78000,0.363538
40217.79000,0.363536
40217.80000,0.363534
40217.81000,0.363532
40217.82000,0.36353
40217.83000,0.363528
40217.84000,0.363526
40217.85000,0.363524
40217.86000,0.363522
40217.87000,0.36352
40217.88000,0.363518
40217.89000,0.363516
40217.90000,0.363514
40217.91000,0.363511
40217.92000,0.363509
40217.93000,0.363507
40217.94000,0.363505
40217.95000,0.363503
40217.96000,0.363501
40217.97000,0.363499
40217.98000,0.363497
40217.99000,0.363488
40218.00000,0.363472
40218.01000,0.363457
40218.02000,0.363441
40218.03000,0.363425
40218.04000,0.36341
40218.05000,0.363394
40218.06000,0.363378
40218.07000,0.363362
40218.08000,0.363347
40218.09000,0.363331
40218.10000,0.363315
40218.11000,0.3633
40218.12000,0.363284
40218.13000,0.363268
40218.14000,0.363252
40218.15000,0.363237
40218.16000,0.363221
40218.17000,0.363205
40218.18000,0.363189
40218.19000,0.363174
40218.20000,0.363158
40218.21000,0.363142
40218.22000,0.363127
40218.23000,0.363111
40218.24000,0.363095
40218.25000,0.363079
40218.26000,0.363064
40218.27000,0.363048
40218.28000,0.363032
40218.29000,0.363017
40218.30000,0.363001
40218.31000,0.362985
40218.32000,0.362969
40218.33000,0.362954
40218.34000,0.362938
40218.35000,0.362922
40218.36000,0.362907
40218.37000,0.362891
40218.38000,0.362875
40218.39000,0.362859
40218.40000,0.362844
40218.41000,0.362828
40218.42000,0.362812
40218.43000,0.362797
40218.44000,0.362781
40218.45000,0.362765
40218.46000,0.362749
40218.47000,0.362734
40218.48000,0.362718
40218.49000,0.362711
40218.50000,0.362714
40218.51000,0.362716
40218.52000,0.362718
40218.53000,0.36272
40218.54000,0.362723
40218.55000,0.362725
40218.56000,0.362727
40218.57000,0.36273
40218.58000,0.362732
40218.59000,0.362734
40218.60000,0.362737
40218.61000,0.362739
40218.62000,0.362741
40218.63000,0.362744
40218.64000,0.362746
40218.65000,0.362748
40218.66000,0.362831
40218.67000,0.363035
40218.68000,0.363403
40218.69000,0.363879
40218.70000,0.364229
40218.71000,0.364403
40218.72000,0.364411
40218.73000,0.36436
40218.74000,0.365315
40218.75000,0.367663
40218.76000,0.371094
40218.77000,0.374943
40218.78000,0.377923
40218.79000,0.380175
40218.80000,0.381923
40218.81000,0.382869
40218.82000,0.383198
40218.83000,0.383124
40218.84000,0.382851
40218.85000,0.382472
40218.86000,0.381975
40218.87000,0.38135
40218.88000,0.380636
40218.89000,0.379854
40218.90000,0.379015
40218.91000,0.37812
40218.92000,0.377171
40218.93000,0.376164
40218.94000,0.375262
40218.95000,0.374926
40218.96000,0.375031
40218.97000,0.37543
40218.98000,0.37596
40218.99000,0.376051
40219.00000,0.375804
40219.01000,0.375337
40219.02000,0.37473
40219.03000,0.374031
40219.04000,0.373268
40219.05000,0.372461
40219.06000,0.371626
40219.07000,0.371013
40219.08000,0.370674
40219.09000,0.370568
40219.10000,0.37065
40219.11000,0.370955
40219.12000,0.371503
40219.13000,0.372245
40219.14000,0.373105
40219.15000,0.373903
40219.16000,0.374451
40219.17000,0.374795
40219.18000,0.375001
40219.19000,0.375155
40219.20000,0.375384
40219.21000,0.375678
40219.22000,0.376013
40219.23000,0.376337
40219.24000,0.376278
40219.25000,0.375935
40219.26000,0.375412
40219.27000,0.374773
40219.28000,0.374175
40219.29000,0.373628
40219.30000,0.373112
40219.31000,0.372614
40219.32000,0.37212
40219.33000,0.371625
40219.34000,0.371128
40219.35000,0.370633
40219.36000,0.368165
40219.37000,0.36816
40219.38000,0.368154
40219.39000,0.368149
40219.40000,0.368143
40219.41000,0.368138
40219.42000,0.368132
40219.43000,0.368127
40219.44000,0.368122
40219.45000,0.368116
40219.46000,0.368111
40219.47000,0.368105
40219.48000,0.3681
40219.49000,0.368094
40219.50000,0.368089
40219.51000,0.368083
40219.52000,0.368078
40219.53000,0.368072
40219.54000,0.368067
40219.55000,0.368061
40219.56000,0.368056
40219.57000,0.36805
40219.58000,0.368045
40219.59000,0.368039
40219.60000,0.368034
40219.61000,0.368028
40219.62000,0.368023
40219.63000,0.368017
40219.64000,0.368012
40219.65000,0.368006
40219.66000,0.368001
40219.67000,0.367995
40219.68000,0.36799
40219.69000,0.367984
40219.70000,0.367979
40219.71000,0.367973
40219.72000,0.367968
40219.73000,0.367963
40219.74000,0.367957
40219.75000,0.367952
40219.76000,0.367946
40219.77000,0.367941
40219.78000,0.367935
40219.79000,0.36793
40219.80000,0.367924
40219.81000,0.367919
40219.82000,0.367913
40219.83000,0.367908
40219.84000,0.367902
40219.85000,0.367897
40219.86000,0.367891
40219.87000,0.367879
40219.88000,0.367867
40219.89000,0.367855
40219.90000,0.367843
40219.91000,0.367832
40219.92000,0.36782
40219.93000,0.367808
40219.94000,0.367796
40219.95000,0.367784
40219.96000,0.367772
40219.97000,0.36776
40219.98000,0.367748
40219.99000,0.367736
40220.00000,0.367724
40220.01000,0.367712
40220.02000,0.3677
40220.03000,0.367688
40220.04000,0.367676
40220.05000,0.367664
40220.06000,0.367652
40220.07000,0.36764
40220.08000,0.367628
40220.09000,0.367616
40220.10000,0.367604
40220.11000,0.367593
40220.12000,0.367581
40220.13000,0.367569
40220.14000,0.367557
40220.15000,0.367545
40220.16000,0.367533
40220.17000,0.367521
40220.18000,0.367509
40220.19000,0.367497
40220.20000,0.367485
40220.21000,0.367473
40220.22000,0.367461
40220.23000,0.367449
40220.24000,0.367439
40220.25000,0.36743
40220.26000,0.367421
40220.27000,0.367412
40220.28000,0.367403
40220.29000,0.367394
40220.30000,0.367385
40220.31000,0.367376
40220.32000,0.367367
40220.33000,0.367358
40220.34000,0.367349
40220.35000,0.36734
40220.36000,0.367331
40220.37000,0.367322
40220.38000,0.367313
40220.39000,0.367304
40220.40000,0.367295
40220.41000,0.367286
40220.42000,0.367277
40220.43000,0.367268
40220.44000,0.367259
40220.45000,0.367251
40220.46000,0.367242
40220.47000,0.367233
40220.48000,0.367224
40220.49000,0.367215
40220.50000,0.367206
40220.51000,0.367197
40220.52000,0.367188
40220.53000,0.367179
40220.54000,0.36717
40220.55000,0.367161
40220.56000,0.367152
40220.57000,0.367143
40220.58000,0.367134
40220.59000,0.367125
40220.60000,0.367116
40220.61000,0.367107
40220.62000,0.367098
40220.63000,0.367089
40220.64000,0.36708
40220.65000,0.367071
40220.66000,0.367062
40220.67000,0.367053
40220.68000,0.367044
40220.69000,0.367035
40220.70000,0.367027
40220.71000,0.367018
40220.72000,0.367009
40220.73000,0.367
40220.74000,0.366991
40220.75000,0.366982
40220.76000,0.366973
40220.77000,0.366964
40220.78000,0.366955
40220.79000,0.366946
40220.80000,0.366937
40220.81000,0.366929
40220.82000,0.36692
40220.83000,0.366911
40220.84000,0.366902
40220.85000,0.366893
40220.86000,0.366884
40220.87000,0.366875
40220.88000,0.366866
40220.89000,0.366858
40220.90000,0.366849
40220.91000,0.36684
40220.92000,0.366831
40220.93000,0.366822
40220.94000,0.366813
40220.95000,0.366804
40220.96000,0.366795
40220.97000,0.366787
40220.98000,0.366778
40220.99000,0.366769
40221.00000,0.36676
40221.01000,0.366751
40221.02000,0.366742
40221.03000,0.366733
40221.04000,0.366724
40221.05000,0.366716
40221.06000,0.366707
40221.07000,0.366698
40221.08000,0.366689
40221.09000,0.36668
40221.10000,0.366671
40221.11000,0.366662
40221.12000,0.366653
40221.13000,0.366645
40221.14000,0.366636
40221.15000,0.366627
40221.16000,0.366618
40221.17000,0.366609
40221.18000,0.3666
40221.19000,0.366591
40221.20000,0.366582
40221.21000,0.366574
40221.22000,0.366565
40221.23000,0.366556
40221.24000,0.366547
40221.25000,0.366538
40221.26000,0.366529
40221.27000,0.36652
40221.28000,0.366512
40221.29000,0.366503
40221.30000,0.366494
40221.31000,0.366485
40221.32000,0.366476
40221.33000,0.366467
40221.34000,0.366459
40221.35000,0.36645
40221.36000,0.366441
40221.37000,0.366432
40221.38000,0.366423
40221.39000,0.366414
40221.40000,0.366406
40221.41000,0.366397
40221.42000,0.366388
40221.43000,0.366379
40221.44000,0.36637
40221.45000,0.366361
40221.46000,0.366353
40221.47000,0.366344
40221.48000,0.366335
40221.49000,0.366326
40221.50000,0.366317
40221.51000,0.366308
40221.52000,0.366299
40221.53000,0.366291
40221.54000,0.366282
40221.55000,0.366273
40221.56000,0.366264
40221.57000,0.366255
40221.58000,0.366246
40221.59000,0.366238
40221.60000,0.366229
40221.61000,0.36622
