t, Obs_Pond water depth (m)_expression
40182.92000,8.65778e-07
40182.93000,8.64735e-07
40182.94000,8.63708e-07
40182.95000,8.62687e-07
40182.96000,8.61667e-07
40182.97000,8.60646e-07
40182.98000,8.59626e-07
40182.99000,8.58605e-07
40183.00000,8.57585e-07
40183.01000,8.56564e-07
40183.02000,8.55543e-07
40183.03000,8.54523e-07
40183.04000,8.53502e-07
40183.05000,8.52482e-07
40183.06000,8.51461e-07
40183.07000,8.50441e-07
40183.08000,8.4942e-07
40183.09000,8.48399e-07
40183.10000,8.47379e-07
40183.11000,8.46358e-07
40183.12000,8.45366e-07
40183.13000,8.44374e-07
40183.14000,8.43381e-07
40183.15000,8.42389e-07
40183.16000,8.41397e-07
40183.17000,8.40405e-07
40183.18000,8.39413e-07
40183.19000,8.38421e-07
40183.20000,8.37429e-07
40183.21000,8.36437e-07
40183.22000,8.35445e-07
40183.23000,8.34453e-07
40183.24000,8.33461e-07
40183.25000,8.32469e-07
40183.26000,8.31477e-07
40183.27000,8.30485e-07
40183.28000,8.29493e-07
40183.29000,8.28477e-07
40183.30000,8.27376e-07
40183.31000,8.26274e-07
40183.32000,8.25173e-07
40183.33000,8.24072e-07
40183.34000,8.22971e-07
40183.35000,8.21869e-07
40183.36000,8.20768e-07
40183.37000,8.19667e-07
40183.38000,8.18566e-07
40183.39000,8.17464e-07
40183.40000,8.16363e-07
40183.41000,8.15262e-07
40183.42000,8.14161e-07
40183.43000,8.13059e-07
40183.44000,8.11958e-07
40183.45000,8.10857e-07
40183.46000,8.09756e-07
40183.47000,8.08715e-07
40183.48000,8.07745e-07
40183.49000,8.06775e-07
40183.50000,8.05805e-07
40183.51000,8.04835e-07
40183.52000,8.03864e-07
40183.53000,8.02894e-07
40183.54000,8.01924e-07
40183.55000,8.00954e-07
40183.56000,7.99984e-07
40183.57000,7.99014e-07
40183.58000,7.98044e-07
40183.59000,7.97074e-07
40183.60000,7.96104e-07
40183.61000,7.95134e-07
40183.62000,7.94164e-07
40183.63000,7.93193e-07
40183.64000,7.92223e-07
40183.65000,7.91331e-07
40183.66000,7.90472e-07
40183.67000,7.89613e-07
40183.68000,7.88754e-07
40183.69000,7.87895e-07
40183.70000,7.87036e-07
40183.71000,7.86177e-07
40183.72000,7.85317e-07
40183.73000,7.84458e-07
40183.74000,7.83599e-07
40183.75000,7.8274e-07
40183.76000,7.81881e-07
40183.77000,7.81022e-07
40183.78000,7.80163e-07
40183.79000,7.79304e-07
40183.80000,7.78445e-07
40183.81000,7.77585e-07
40183.82000,7.76726e-07
40183.83000,7.75887e-07
40183.84000,7.7505e-07
40183.85000,7.74212e-07
40183.86000,7.73374e-07
40183.87000,7.72537e-07
40183.88000,7.71699e-07
40183.89000,7.70861e-07
40183.90000,7.70023e-07
40183.91000,7.69186e-07
40183.92000,7.68348e-07
40183.93000,7.6751e-07
40183.94000,7.66672e-07
40183.95000,7.65835e-07
40183.96000,7.64997e-07
40183.97000,7.64159e-07
40183.98000,7.63322e-07
40183.99000,7.62484e-07
40184.00000,7.61649e-07
40184.01000,7.6083e-07
40184.02000,7.6001e-07
40184.03000,7.5919e-07
40184.04000,7.5837e-07
40184.05000,7.5755e-07
40184.06000,7.5673e-07
40184.07000,7.5591e-07
40184.08000,7.5509e-07
40184.09000,7.5427e-07
40184.10000,7.5345e-07
40184.11000,7.52631e-07
40184.12000,7.51811e-07
40184.13000,7.50991e-07
40184.14000,7.50171e-07
40184.15000,7.49351e-07
40184.16000,7.48531e-07
40184.17000,7.47711e-07
40184.18000,7.46886e-07
40184.19000,7.46055e-07
40184.20000,7.45224e-07
40184.21000,7.44393e-07
40184.22000,7.43562e-07
40184.23000,7.4273e-07
40184.24000,7.41899e-07
40184.25000,7.41068e-07
40184.26000,7.40237e-07
40184.27000,7.39406e-07
40184.28000,7.38574e-07
40184.29000,7.37743e-07
40184.30000,7.36912e-07
40184.31000,7.36081e-07
40184.32000,7.3525e-07
40184.33000,7.34418e-07
40184.34000,7.33587e-07
40184.35000,7.32756e-07
40184.36000,7.3188e-07
40184.37000,7.30981e-07
40184.38000,7.30083e-07
40184.39000,7.29185e-07
40184.40000,7.28287e-07
40184.41000,7.27389e-07
40184.42000,7.2649e-07
40184.43000,7.25592e-07
40184.44000,7.24694e-07
40184.45000,7.23796e-07
40184.46000,7.22897e-07
40184.47000,7.21999e-07
40184.48000,7.21101e-07
40184.49000,7.20203e-07
40184.50000,7.19305e-07
40184.51000,7.18406e-07
40184.52000,7.17508e-07
40184.53000,7.1661e-07
40184.54000,7.15868e-07
40184.55000,7.15141e-07
